Company,UDIDs
BUND MEDIA PTY. LTD.,0x104D
LAUMAS Elettronica S.r.l.,0x104C
Yoto Limited,0x104B
Mueller-BBM Rail Technologies GmbH,0x104A
"Anhui Ubico Advanced Manufacture Co., Ltd.",0x1049
Ferrari s.p.a.,0x1048
Yamaha Motor eBike Systems GmbH,0x1047
EXELIO S.R.L.,0x1046
VOTRONIC Elektronik-Systeme GmbH,0x1045
Rotarex S.A.,0x1044
"Shanghai Holychip Electronic Co., Ltd.",0x1043
"Namara Water Technologies, Inc",0x1042
"Shenzhen Huasheng Jiaye Technology Co., Ltd",0x1041
Raspberry Pi,0x1040
infyni,0x103F
Nextorage Corporation,0x103E
Blahaj Ltd,0x103D
FOSS Analytical A/S,0x103A
"Beijing Hongsi Electronic Technology Co.,Ltd.",0x0FDC
NIVELCO PROCESS CONTROL CO.,0x0FDA
REMDEVICE S.R.L.,0x0FD9
SIVA Inotec Limited,0x0FD8
"Hondata, Inc.",0x0FD7
LIOTYS,0x0FD6
Telemacy Ltd,0x0FD5
QRITAGYA LLP,0x0FD4
"YDIIT Co., Ltd",0x0FD3
Domteknika S.A,0x0FD2
Auranova LLC,0x0FD1
Stark Future SL,0x0FD0
Nestlab AS,0x0FCF
NOJA Power,0x0FCE
Wimate Technology Solutions Pvt Ltd,0x0FCD
Neurotherapeutics Ltd,0x0FCC
Biocorp Production,0x0FCB
"Legato Audio, Inc.",0x0FCA
Zirbel Bike GmbH,0x0FC9
"Eforthink Technology Co., Ltd.",0x0FC8
Pharox B.V.,0x0FC7
ASD Lighting PLC,0x0FC6
"Hypershell Co., Ltd",0x0FC5
"FulScience Automotive Electronics Co., Ltd.",0x0FC4
"Shenzhen Jimi loT Co.,Ltd",0x0FC3
"ISSPRO, INC",0x0FC2
Air Automotive tracking Inc.,0x0FC1
"Littlebird Connected Care, Inc.",0x0FC0
Tridentify AB,0x0FBF
TaigaIoT,0x0FBE
Locus Robotics Corp.,0x0FBD
ATANS TECHNOLOGY INC.,0x0FBC
"Rollease Acmeda, Inc.",0x0FBB
"Cosonic Intelligent Technologies Co., Ltd.",0x0FBA
"Shenzhen Mutual Technology Co., Ltd",0x0FB9
"SITERWELL ELECTRONICS CO.,LIMITED",0x0FB8
"Hapn Holdings, LLC",0x0FB7
TQ-Systems GmbH,0x0FB6
"Hangzhou Nano IC Technologies Co,. Ltd",0x0FB5
StoneDevices,0x0FB4
Hooked Society Oy Ltd,0x0FB3
PLAUD Inc.,0x0FB2
Avivomed Inc.,0x0FB1
"General Resistance, LLC",0x0FB0
Terasite Technologies,0x0FAF
Capacite,0x0FAE
The AI Toy Company,0x0FAD
Flitsmeister B.V.,0x0FAC
Geo Radar AI Private Limited,0x0FAB
"Suzhou Fanxi Technology Co., Ltd.",0x0FAA
"Ranch Systems, Inc.",0x0FA9
Senti Technologies Private Limited,0x0FA8
spheretek japan,0x0FA7
Ugreen Group Limited,0x0FA6
"Avanos Medical, Inc.",0x0FA5
Nice Spa,0x0FA4
B.E.G. Brueck Electronic GmbH,0x0FA3
BIA NEUROSCIENCE INC.,0x0FA2
PALRED RETAIL PRIVATE LIMITED,0x0FA1
DP IOT,0x0FA0
Seiko Future Creation Inc.,0x0F9F
Hibino Corporation,0x0F9E
IRTrans GmbH,0x0F9D
WePower Technologies LLC,0x0F9C
"Hanshow Technology Co.,Ltd.",0x0F9B
"Eiritsu Electronics Industry Co., Ltd.",0x0F9A
DEZINE GROUP LLC,0x0F99
Fitnexa Inc,0x0F98
SPX Aids to Navigation Oy,0x0F97
"SEIKOIST, INC",0x0F96
Dongguang Huasoo Automation Technology Company Limited,0x0F95
"IDX Company, Ltd.",0x0F94
Aktiebolaget Ebeco,0x0F93
"Ethos Group, Inc.",0x0F92
Valostra Digital Ventures LLP,0x0F91
MOBI7 TECNOLOGIA EM MOBILIDADE S.A.,0x0F90
SIGNUM INTELLIGENCE LTD,0x0F8F
Biceek Inc,0x0F8E
"JUREN CO., LTD.",0x0F8D
"ROYAL PARTS CO.,LTD",0x0F8C
A.Y. McDonald Mfg. Co.,0x0F8B
Innogando S.L.,0x0F8A
STOREIO TECHNOLOGIES LTD,0x0F89
"Kohler Ventures, Inc.",0x0F88
Anacove Inc.,0x0F87
Lakecrest Pty Ltd,0x0F86
"Hangzhou Sciener Smart Technology Co., Ltd.",0x0F85
"KT Micro, Inc.",0x0F84
Calpeda S.p.A.,0x0F83
Amon Co.Ltd.,0x0F82
IN Phase International lTD,0x0F81
"Hydro Electronic Devices, Inc.",0x0F80
Badass eBikes GmbH,0x0F7F
"shenzhen Holyiot Technology Co.,Ltd",0x0F7E
eQ-3 AG,0x0F7D
Polk Audio,0x0F7C
"SKYROAM, INC.",0x0F7B
"SHENZHEN GUANG QI GUO CHUANG TECHNOLOGY CO.,LTD",0x0F7A
Walter Mueller Inc. for Industrial Electronics,0x0F79
"Also, Inc.",0x0F78
"CROSS BRAIN CO.,Ltd.",0x0F77
simatec ag,0x0F76
"Senseonics, Incorporated",0x0F75
Sperry Labs LLC,0x0F74
Keycafe Inc.,0x0F73
"FLORLINK, INC.",0x0F72
PIRITIZ LLC,0x0F71
TECHFLITTER SOLUTIONS PRIVATE LIMITED,0x0F70
onanoff limited,0x0F6F
iSi Wearable Safety GmbH,0x0F6E
"MODRETRO, INC.",0x0F6D
Biogents AG,0x0F6C
Skywalk Inc.,0x0F6B
Roam Devices LLC,0x0F6A
Ancoe Industry Corporation,0x0F69
Navico,0x0F68
"White Eagle Sonic Technologies, Inc.",0x0F67
"BIGREDBEE, LLC",0x0F66
"CZV, Inc",0x0F65
SafeNow GmbH,0x0F64
"WATTER, Inc.",0x0F63
Kehwin Technologies Co. Ltd.,0x0F62
"HyolimXE Co., Ltd.",0x0F61
"Quilt Systems, Inc.",0x0F60
ROBSON SRL,0x0F5F
"WUXI WEIDA INTELLIGENT ELECTRONICS CO.,LTD.",0x0F5E
Leapcraft ApS,0x0F5D
"Micro Technology Services, Inc.",0x0F5C
shanghai fudan electronics group company Co. Ltd,0x0F5B
Vibe Energy B.V.,0x0F5A
Silicon Vandals PTY LTD,0x0F59
"Shenzhen Guo-link Technology Co.,Ltd.",0x0F58
Silverlake Technologies,0x0F57
Astute Access Group Limited,0x0F56
Sensoteq Ltd,0x0F55
ContiTech Deutschland GmbH,0x0F54
Fledt & Meiton Marin AB,0x0F53
Shenzhen Yunke Intelligent Co.Ltd,0x0F52
ebm-papst Mulfingen GmbH & Co. KGaA & Co. KG,0x0F51
Lantern Innovations Incorporated,0x0F50
G-Vision GmbH,0x0F4F
"Ningbo Dooya Mechanic & Electronic Technology Co., Ltd",0x0F4E
Qulinda AB,0x0F4D
JL WORLD CORPORATION LIMITED,0x0F4C
"desamisCo.,Ltd.",0x0F4B
Mitsubishi Motors Corporation,0x0F4A
IYO INC.,0x0F49
"Shenzhen Xinfeiyi Technology Co., Ltd.",0x0F48
Lodestar Technology Inc.,0x0F47
"Huizhou Meicanxin Electronics Technology Co.,Ltd",0x0F46
Tactica Defense LLC,0x0F45
"MAVERICK ENERGY SOLUTIONS INTERNATIONAL,INC",0x0F44
"12mm Health Technology (Hainan) Co., Ltd.",0x0F43
LINKEDCHIP TECHNOLOGY INC,0x0F42
BONX INC.,0x0F41
Health Data Insight C.I.C.,0x0F40
Landig + Lava GmbH & Co. KG,0x0F3F
Salyx Medical Inc.,0x0F3E
Vitio Medical S.L.,0x0F3D
Mobile Technology Solutions LLC,0x0F3C
"SANWA NEWTEC CO.,LTD.",0x0F3B
"Southern Audio Services, Inc",0x0F3A
Seitron Spa,0x0F39
GILL INSTRUMENTS LIMITED,0x0F38
Schueco International KG,0x0F37
NODER Joint Stock Company,0x0F36
Audeze LLC,0x0F35
"NINGBO SHARKWARD ELECTRONICS CO.,LTD",0x0F34
TETNET,0x0F33
FLINTEC UK LIMITED,0x0F32
TECHNOLOGIES FOR FREERIDE s.r.o,0x0F31
"Opal Camera, Inc.",0x0F30
ThingCo Limited,0x0F2F
"BRITZ INTERNATIONAL CO.,LTD",0x0F2E
ClipsClips LLC,0x0F2D
Vision Group Inc.,0x0F2C
ElitEngineering LLC,0x0F2B
KELLER Druckmesstechnik AG,0x0F2A
Trezor Company s.r.o.,0x0F29
Amp Fit Israel LTD,0x0F28
Global Link Distribution Corp.,0x0F27
Centromere Holding B.V.,0x0F26
"Sichuan Changhong Neonet Technologies Co.,Ltd.",0x0F25
"Easy Measure Co., Ltd.",0x0F24
"Yuquan Semiconductor (Xiamen) Co., Ltd.",0x0F23
ONESPACE TECHNOLOGIES (PTY) LTD,0x0F22
Rokk Limited,0x0F21
"Beijing Spring Creation Technology Co., Ltd.",0x0F20
"Ninebot (Changzhou) Tech Co., Ltd.",0x0F1F
Yolni Inc.,0x0F1E
ZIMMERMANN PV-Steel Group GmbH & Co. KG,0x0F1D
Edge Semiconductors Inc.,0x0F1C
PalatiumCare LLC,0x0F1B
"FLO SCIENCES, LLC",0x0F1A
"Shenzhen SuperSound Technology Co.,Ltd",0x0F19
"iKeyless, LLC",0x0F18
"RORENTECH Co., Ltd.",0x0F17
ADHD Friendly co.Ltd,0x0F16
Oval Corporation,0x0F15
"PreEvnt, LLC",0x0F14
Freshape SA,0x0F13
"Endur ID, Inc.",0x0F12
Deep and Steep LLC,0x0F11
"ShenZhen Doctors of Intelligence & Technology Co.,Ltd",0x0F10
caive Inc.,0x0F0F
IDEATRONIK Limited Liability Company,0x0F0E
Maennl Elektronik GmbH,0x0F0D
"Hitachi Industrial Equipment Systems Co.,Ltd.",0x0F0C
"Brightway Innovation Intelligent Technology (Suzhou) Co., Ltd.",0x0F0B
"LION GROUP, INC.",0x0F0A
ANC CHINA LIMITED,0x0F09
Lezyne USA Inc.,0x0F08
Tech OVN Private Limited,0x0F07
"SHENZHEN POWEROAK NEWENER CO., LTD",0x0F06
"SHENZHEN GWSTAI TECHNOLOGY CO.,LTD",0x0F05
Lumen Labs (HK) Ltd,0x0F04
Olibra LLC,0x0F03
GE HEALTHCARE TECHNOLOGIES INC.,0x0F02
HAPPLABS SOFTWARE PRIVATE LIMITED,0x0F01
TRACERCO LIMITED,0x0F00
Healthcare Technology Limited,0x0EFF
"Teledyne Instruments, Inc.",0x0EFE
PRIMES GmbH,0x0EFD
Jano Life Inc.,0x0EFC
BLUEPROVIDERZ LLC,0x0EFB
Sensear Pty Ltd,0x0EFA
"Aseptico, Inc.",0x0EF9
IoT Solutions Malta Limited,0x0EF8
"Trackonomy Systems, Inc.",0x0EF7
"Shenzhen Cyber Innovation Technology Co., Ltd.",0x0EF6
"LS ELECTRIC Co., Ltd.",0x0EF5
Monil AS,0x0EF3
CAPTAIN BLINK,0x0EF2
"Wuxi Does IOT Co., Ltd",0x0EF1
Seaward Electronic,0x0EF0
Q42 Internet B.V.,0x0EEF
ELLEA INGEGNERIA SRL UNIPERSONALE,0x0EEE
BBC Bircher AG,0x0EED
"Willow Laboratories, Inc.",0x0EEC
"Fujita Electric Works, Ltd",0x0EEB
Core Devices LLC,0x0EEA
PIXEL TI IND. E COM PROD ELETRONICOS,0x0EE9
SG Armaturen AS,0x0EE8
RICKARD AIR DIFFUSION (PTY) LTD,0x0EE7
"NOCTRIX HEALTH, INC",0x0EE6
Ambient Life Inc.,0x0EE5
"CAPTEMP, LDA",0x0EE4
"TAMRON Co., Ltd.",0x0EE3
"shenzhen hongever technology Co,. Ltd",0x0EE2
MA MICRO LIMITED,0x0EE1
MAERSK CONTAINER INDUSTRY A/S,0x0EE0
Dynaudio A/S,0x0EDF
Sony Honda Mobility Inc.,0x0EDE
Ceridwen Limited,0x0EDD
"Shenzhen Zoqin Technology Co., Ltd.",0x0EDC
ShenZhen BoYiChuangXin,0x0EDB
Kodira GmbH,0x0EDA
Overhead Door Corporation,0x0ED9
DORAN MFG. LLC,0x0ED8
CS INSTRUMENTS GmbH & Co.KG,0x0ED7
"Quintessential Design, Inc.",0x0ED6
Relish Technologies Limited,0x0ED5
"Goerdyna Group Co., Ltd",0x0ED4
Lichens Innovation inc.,0x0ED3
"SHENZHEN BESTWAY ELECTRONICS CO.,LTD",0x0ED2
VINYL MATT MEDIA LIMITED,0x0ED1
"Gibson, Inc.",0x0ED0
"GGEC America, Inc.",0x0ECF
"Guangzhou Honor Microelectronic Co.,Ltd.",0x0ECE
Nature Inc.,0x0ECD
"Shenzhen NEOECO Technology Co., Ltd.",0x0ECC
Zhong Shan City Richsound Electronic Industrial Ltd.,0x0ECB
NexRev LLC,0x0ECA
NeuroPace Inc,0x0EC9
Codie LLC,0x0EC8
Canyon Bicycles GmbH,0x0EC7
AuthGate B.V.,0x0EC6
"Alibaba (China) Co., Ltd.",0x0EC5
PACIFIC MARINE BATTERIES PTY. LIMITED,0x0EC4
Herschel Infrared Ltd,0x0EC3
"High Entropy, LLC",0x0EC2
Crossdoor,0x0EC1
WEST inx Ltd.,0x0EC0
Schulte-Schlagbaum AG,0x0EBF
Deity Acoustic Technology Co.,0x0EBE
"Tongfang Health Technology (Beijing) Co., Ltd.",0x0EBD
GP Acoustics International Limited,0x0EBC
"Asahi Denso Co.,Ltd.",0x0EBB
THERMY LTD,0x0EBA
"egojin co,.ltd",0x0EB9
Embedded Solutions LLC,0x0EB7
"Server Products, Inc.",0x0EB6
Preseed Japan Corporation,0x0EB5
"BLUEFIN DATA, LLC",0x0EB4
Zucchetti Axess,0x0EB3
PRADCO Outdoor Brands,0x0EB2
WearNex Limited,0x0EB1
FactorySense,0x0EB0
Unfolded Circle ApS,0x0EAF
"BHClears Microelectronics (Shanghai) Co., Ltd.",0x0EAE
"OPTRON Co., Ltd.",0x0EAD
Dynetrex Solutions Inc.,0x0EAC
STEYR Sport GmbH,0x0EAB
Hive Soundz inc.,0x0EAA
"Makichie Co., Ltd.",0x0EA9
"Dongguan Trangjan Industrial Co., Ltd",0x0EA8
BrickXter GmbH,0x0EA7
AMG Lab LLC,0x0EA6
"BiTECH Automotive (Wuhu) Co.,Ltd",0x0EA4
"OLIS ELECTRONICS, LLC",0x0EA3
QIKCONNEX LLC,0x0EA2
Culligan International Company,0x0EA1
ENLESS WIRELESS,0x0EA0
Owlet Baby Care Inc.,0x0E9F
Travelxp India Private Limited,0x0E9E
Audinor ApS,0x0E9D
Andrews & Arnold Ltd,0x0E9C
"Panasonic Automotive Systems Co., Ltd.",0x0E9B
Scanbro OU,0x0E9A
"Medibound, Inc.",0x0E99
Chromatic Inc.,0x0E98
kokoromil Inc.,0x0E97
"Skeed,co,Ltd.",0x0E96
"Viaanix, Inc.",0x0E95
Tactrix,0x0E94
"MIV ELECTRONICS, LTD",0x0E93
Glutz AG,0x0E92
Identita Inc.,0x0E91
"RainMaker Solutions, Inc.",0x0E90
Avetos Design LLC,0x0E8F
Nobest Inc,0x0E8E
Celebrities Management Private Limited,0x0E8D
Gopod Group Holding Limited,0x0E8C
Allgon AB,0x0E8B
Tele-Radio i Lysekil AB,0x0E8A
Brudden,0x0E89
"Skewered Fencing, LLC",0x0E88
"OpenTech Alliance, Inc.",0x0E87
"Mercury Marine, a division of Brunswick Corporation",0x0E86
"TigerLight, Inc.",0x0E85
Tymphany HK Ltd,0x0E84
SPRiNTUS GmbH,0x0E83
CHEVALIER TECH LIMITED,0x0E82
"Guangdong Hengqin Xingtong Technology Co.,ltd.",0x0E81
IQNEXXT Solutions GmbH,0x0E80
SZR-Dev UG,0x0E7F
Archon Controls LLC,0x0E7E
"Jiangsu XinTongda Electric Technology Co.,Ltd.",0x0E7D
final Inc.,0x0E7C
Circular,0x0E7B
Vivago Oy,0x0E7A
Neptune First OU,0x0E79
HONG KONG COMMUNICATIONS COMPANY LIMITED,0x0E78
"MOBILE TECH, INC.",0x0E77
"Guangdong Nanguang Photo&Video Systems Co., Ltd.",0x0E76
"Le Touch (Shenzhen) Electronics Co., Ltd.",0x0E75
Rocky Radios LLC,0x0E74
Adventures of the Persistently Impaired (and other tales) Limited,0x0E73
TOR.AI LIMITED,0x0E72
ENABLEWEAR LLC,0x0E71
Powerstick.com,0x0E70
"OpConnect, Inc.",0x0E6F
"RIGH, INC.",0x0E6C
"Shenzhen Goodocom Information Technology Co., Ltd.",0x0E6B
Hyena Inc.,0x0E6A
"Megatronix (Beijing) Technology Co., Ltd",0x0E69
NEXT DEVICES LTDA,0x0E67
"Shenzhen Baseus Technology Co., Ltd.",0x0E66
"Daikin Industries, LTD",0x0E65
HuiTong intelligence Company Limited,0x0E64
LAST LOCK INC.,0x0E63
GOKI PTY LTD,0x0E62
"Queclink Wireless Solutions Co., Ltd.",0x0E61
"Ant Group Co., Ltd.",0x0E60
Ruptela,0x0E5F
"SHAPER TOOLS, INC.",0x0E5E
L.T.H. Electronics Limited,0x0E5D
Rocoto Ltd,0x0E5C
"Wuhu Hongjing Electronic Co.,Ltd",0x0E5B
"OmniWave Microelectronics Shanghai Co., Ltd",0x0E5A
Loewe Technology GmbH,0x0E59
"Urban Armor Gear, LLC",0x0E58
Altina Inc.,0x0E57
INEPRO Metering B.V.,0x0E56
"New Cosmos Electric Co., Ltd.",0x0E55
After Technologies AS,0x0E54
MINIRIG,0x0E53
"Aquana, LLC",0x0E52
Dyaco International Inc.,0x0E51
"Zhejiang Desman Intelligent Technology Co., Ltd.",0x0E50
eBet Gaming Sytems Pty Limited,0x0E4F
"QSC, LLC",0x0E4E
"Brooksee, Inc.",0x0E4D
"Luxshare Precision Industry Co., Ltd.",0x0E4C
PUDSEY DIAMOND ENGINEERING LIMITED,0x0E4B
Nitto Denko Corporation,0x0E4A
"Deone (Shanghai) Communication & Technology Co., Ltd",0x0E49
KARLUNA MUHENDISLIK SANAYI VE TICARET ANONIM SIRKETI,0x0E48
Hosiden Besson Limited,0x0E47
SOUNDUCT,0x0E46
Filo Srl,0x0E45
QUANTATEC,0x0E44
"InnoVision Medical Technologies, LLC",0x0E43
"Z-ONE Technology Co., Ltd.",0x0E42
Asustek Computer Inc.,0x0E41
WKD Labs Ltd,0x0E40
"Wiser Devices, LLC",0x0E3F
VANBOX,0x0E3E
Walmart Inc.,0x0E3D
Viselabs,0x0E3C
"Swift IOT Tech (Shenzhen) Co., LTD.",0x0E3B
OFIVE LIMITED,0x0E3A
IRES Infrarot Energie Systeme GmbH,0x0E39
SLOC GmbH,0x0E38
CESYS Gesellschaft fÃ¼r angewandte Mikroelektronik mbH,0x0E37
Cousins and Sears LLC,0x0E36
SNAPPWISH LLC,0x0E35
"Vermis, software solutions llc",0x0E34
Crescent NV,0x0E33
"PACIFIC INDUSTRIAL CO., LTD.",0x0E32
AlphaTheta Corporation,0x0E31
Primax Electronics Ltd.,0x0E30
ONWI,0x0E2F
NIHON KOHDEN CORPORATION,0x0E2E
"ECARX (Hubei) Tech Co.,Ltd.",0x0E2D
9313-7263 Quebec inc.,0x0E2C
JE electronic a/s,0x0E2B
"Huizhou Foryou General Electronics Co., Ltd.",0x0E2A
Flipper Devices Inc.,0x0E29
"PatchRx, Inc.",0x0E28
"NextSense, Inc.",0x0E27
"LIHJOEN SPEED METER CO., LTD.",0x0E26
"Hangzhou Hikvision Digital Technology Co., Ltd.",0x0E25
Avedis Zildjian Co.,0x0E24
MS kajak7 UG (limited liability),0x0E23
HITO INC,0x0E22
FOGO,0x0E21
CFLAB TEKNOLOJI TICARET LIMITED SIRKETI,0x0E20
Blecon Ltd,0x0E1F
9512-5837 QUEBEC INC.,0x0E1E
Capte B.V.,0x0E1D
"SHENZHEN DIGITECH CO., LTD",0x0E1C
Time Location Systems AS,0x0E1B
Sensovo GmbH,0x0E1A
Hive-Zox International SA,0x0E19
"Hangzhou Microimage Software Co.,Ltd.",0x0E18
"Ad Hoc Electronics, llc.",0x0E17
"Xiamen RUI YI Da Electronic Technology Co.,Ltd",0x0E16
Eastern Partner Limited,0x0E15
"Heilongjiang Tianyouwei Electronics Co.,Ltd.",0x0E14
ASYSTOM,0x0E13
CLEVER LOGGER TECHNOLOGIES PTY LIMITED,0x0E12
Wanzl GmbH & Co. KGaA,0x0E11
"Eko Health, Inc.",0x0E10
SenseWorks Tecnologia Ltda.,0x0E0F
"FrontAct Co., Ltd.",0x0E0D
"Yuanfeng Technology Co., Ltd.",0x0E0C
Sounding Audio Industrial Ltd.,0x0E0B
Evolutive Systems SL,0x0E09
Heinrich Kopp GmbH,0x0E08
Pinpoint GmbH,0x0E07
"iodyne, LLC",0x0E06
SUREPULSE MEDICAL LIMITED,0x0E05
Doro AB,0x0E04
"Shenzhen eMeet technology Co.,Ltd",0x0E03
PROSYS DEV LIMITED,0x0E02
"Wuhu Mengbo Technology Co., Ltd.",0x0E01
"SHENZHEN SOUNDSOUL INFORMATION TECHNOLOGY CO.,LTD",0x0E00
"WaveRF, Corp.",0x0DFF
"Haptech, Inc.",0x0DFE
BH Technologies,0x0DFD
SOJI ELECTRONICS JOINT STOCK COMPANY,0x0DFC
"Beidou Intelligent Connected Vehicle Technology Co., Ltd.",0x0DFB
"Shenzhen Matches IoT Technology Co., Ltd.",0x0DFA
Belusun Technology Ltd.,0x0DF9
"Chengdu CSCT Microelectronics Co., Ltd.",0x0DF8
"Hangzhou Zhaotong Microelectronics Co., Ltd.",0x0DF7
"Mutrack Co., Ltd",0x0DF6
Delta Faucet Company,0x0DF5
REEKON TOOLS INC.,0x0DF4
hDrop Technologies Inc.,0x0DF3
Weber-Stephen Products LLC,0x0DF2
"iFLYTEK (Suzhou) Technology Co., Ltd.",0x0DF1
Woncan (Hong Kong) Limited,0x0DF0
SING SUN TECHNOLOGY (INTERNATIONAL) LIMITED,0x0DEF
Safety Swim LLC,0x0DEE
Flextronic GmbH,0x0DED
ATEGENOS PHARMACEUTICALS INC,0x0DEC
Fitz Inc.,0x0DEB
Kathrein Solutions GmbH,0x0DEA
General Laser GmbH,0x0DE9
"Vivint, Inc.",0x0DE8
